,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 11 (USE)
43749,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035900,Cobalt Blue OptiBuild,PH220080041129,RB613 OptiBuild,PH220080051340,Human RB613 OptiBuil,759245,Hu CD171 RB613 5G3 50ug,759245-Hu CD171 RB613 5G3 50ug,BDB-759245,$462 ,1,,
43750,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035900,Cobalt Blue OptiBuild,PH220080041129,RB613 OptiBuild,PH220080051341,Other RB613 OptiBuil,758765,Hu CD21 RB613 1048 50ug,758765-Hu CD21 RB613 1048 50ug,BDB-758765,$462 ,1,,BACTEC vials
43751,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),744940,Hu RON (CD136) BV510 ZT/G4 50ug,744940-Hu RON (CD136) BV510 ZT/G4 50ug,BDB-744940,$462 ,1,,BACTEC vials
43752,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),748908,Hu B7-H4 BUV805 MIH43 50ug,748908-Hu B7-H4 BUV805 MIH43 50ug,BDB-748908,$462 ,1,,BACTEC vials
43753,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),750874,Hu HLA-DP BV480 B7/21 50ug,750874-Hu HLA-DP BV480 B7/21 50ug,BDB-750874,$462 ,1,,
43754,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),749861,Hu CD164 BV750 N6B6 50ug,749861-Hu CD164 BV750 N6B6 50ug,BDB-749861,$462 ,1,,BACTEC vials
43755,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035750,Cobalt YG OptiBuild,PH220080041054,RY775 OptiBuild,PH220080051188,Mouse RY775 OptiBuild,771465,Ms CD54 RY775 3E2 50ug,771465-Ms CD54 RY775 3E2 50ug,BDB-771465,$461 ,1,,
43756,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),753802,Hu TCR VB13.2 BV750 H132 50ug,753802-Hu TCR VB13.2 BV750 H132 50ug,BDB-753802,$461 ,1,,
43757,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),755282,Hu CD49c (Itgrn Alp3) BUV615 P1B5 50ug,755282-Hu CD49c (Itgrn Alp3) BUV615 P1B5 50ug,BDB-755282,$461 ,1,,
43758,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),743141,Hu CD115 (CSF-1R) BV510 9-4D2-1E4 50ug,743141-Hu CD115 (CSF-1R) BV510 9-4D2-1E4 50ug,BDB-743141,$461 ,1,,BACTEC vials
43759,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),746598,Hu IL-9R (CD129) BV480 AH9R7 50ug,746598-Hu IL-9R (CD129) BV480 AH9R7 50ug,BDB-746598,$460 ,1,,
43760,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),750427,Hu CD99 BUV661 TU12 50ug,750427-Hu CD99 BUV661 TU12 50ug,BDB-750427,$460 ,1,,
43761,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),755231,Hu CD29 BUV805 TS2/16 50ug,755231-Hu CD29 BUV805 TS2/16 50ug,BDB-755231,$460 ,1,,BACTEC vials
43762,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),749101,Hu SIRP Gma (CD172g) BUV805 OX-119 50ug,749101-Hu SIRP Gma (CD172g) BUV805 OX-119 50ug,BDB-749101,$460 ,1,,
43763,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035100,Sirigen - Immune Function (Flow Cytometry),PH220080041094,Sirigen - Immune Function (Flow Cytometry),PH220080051260,Human - Immune Function (Core Sirigen),570963,Hu Neuropilin-1 BV421 MAB3 100Tst,570963-Hu Neuropilin-1 BV421 MAB3 100Tst,BDB-570963,$460 ,1,,
43764,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),745950,Hu CD35 BB700 E11 50ug,745950-Hu CD35 BB700 E11 50ug,BDB-745950,$460 ,1,,BACTEC vials
43765,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),745816,Hu CD114 BB700 LMM741 50ug,745816-Hu CD114 BB700 LMM741 50ug,BDB-745816,$460 ,1,,BACTEC vials
43766,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051268,Other- Optibuild (Core Sirigen),745485,Rat Ig Lam Light Chain BV711 B46-5 50ug,745485-Rat Ig Lam Light Chain BV711 B46-5 50ug,BDB-745485,$459 ,1,,
43767,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051267,Mouse - Optibuild (Core Sirigen),753369,Ms C3aR BB700 14D4 50ug,753369-Ms C3aR BB700 14D4 50ug,BDB-753369,$459 ,1,,BACTEC vials
43768,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),759570,Hu TCR CBta2 BV750 SAM.2.RMAB 50ug,759570-Hu TCR CBta2 BV750 SAM.2.RMAB 50ug,BDB-759570,$459 ,1,,
43769,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035750,Cobalt YG OptiBuild,PH220080041055,RY703 OptiBuild,PH220080051195,Human RY703 OptiBuild,771234,Hu CD158e1 RY703 DX9 50ug,771234-Hu CD158e1 RY703 DX9 50ug,BDB-771234,$459 ,1,,
43770,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),752713,Hu GPR56 BB700 CG4.RMAB 50ug,752713-Hu GPR56 BB700 CG4.RMAB 50ug,BDB-752713,$459 ,1,,BACTEC vials
43771,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),748493,Hu CD5 BUV737 L17F12 50ug,748493-Hu CD5 BUV737 L17F12 50ug,BDB-748493,$459 ,1,,BACTEC vials
43772,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035900,Cobalt Blue OptiBuild,PH220080041051,RB670 OptiBuild,PH220080051182,Human RB670 OptiBuild,770573,Hu CD71 RB670 L01.1 50ug,770573-Hu CD71 RB670 L01.1 50ug,BDB-770573,$458 ,1,,
43773,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035900,Cobalt Blue OptiBuild,PH220080041062,RB705 OptiBuild,PH220080051200,Mouse RB705 OptiBuild,757233,Ms IL-17 Receptor B RB705 6B7 50ug,757233-Ms IL-17 Receptor B RB705 6B7 50ug,BDB-757233,$457 ,1,,
43774,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),756798,Hu CD36 BUV395 FA6-152 50ug,756798-Hu CD36 BUV395 FA6-152 50ug,BDB-756798,$457 ,1,,BACTEC vials
43775,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),745185,Hu CD11a BV605 G-25.2 50ug,745185-Hu CD11a BV605 G-25.2 50ug,BDB-745185,$457 ,1,,BACTEC vials
43776,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121011,POC Systems,PH230600131061,Alaris System PC Unit,PH230600141164,PCU 8015,PH230600151261,PCU M2 8015,CFN##15D122,8015 BD PCU BS1363 V12.1.1 A/B/G/N,CFN##15D122-8015 BD PCU BS1363 V12.1.1 A/B/G/N,MMS-CFN##15D122,$456 ,1,,Purewick device
43777,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035750,Cobalt YG OptiBuild,PH220080041118,RY586 OptiBuild,PH220080051309,Human RY586 OptiBuild,753234,Hu HLA-A3 RY586 GAP.A3 50ug,753234-Hu HLA-A3 RY586 GAP.A3 50ug,BDB-753234,$456 ,1,,
43778,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220070035100,Cobalt YG MTS,PH220080041134,RY655 MTS,PH220080051353,Human RY655 MTS,572369,Hu CD152 (CTLA-4) RY655 BNI3 100Tst,572369-Hu CD152 (CTLA-4) RY655 BNI3 100Tst,BDB-572369,$456 ,1,,
43779,BLS,BDB,Biosciences,BDB,Biosciences,2200100,Single Cell Multiomics,PH220080022800,SCM Reagents,PH220080035550,BD AbSeq,PH220010041005,AbSeq - MTS vials,PH220010051011,AbSeq - Surface,940135,Ms IgM Olgo AMM2031 II/41 25Tst,940135-Ms IgM Olgo AMM2031 II/41 25Tst,BDB-940135,$456 ,1,,BACTEC vials
43780,BLS,BDB,Biosciences,BDB,Biosciences,2200100,Single Cell Multiomics,PH220080022800,SCM Reagents,PH220080035550,BD AbSeq,PH220010041005,AbSeq - MTS vials,PH220010051011,AbSeq - Surface,940153,Ms IgD Olgo AMM2049 11-26c.2a 25Tst,940153-Ms IgD Olgo AMM2049 11-26c.2a 25Tst,BDB-940153,$456 ,1,,BACTEC vials
43781,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),749182,Hu CD307d (FCRL4) BUV805 A1/CD307D 50ug,749182-Hu CD307d (FCRL4) BUV805 A1/CD307D 50ug,BDB-749182,$456 ,1,,BACTEC vials
43782,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051268,Other- Optibuild (Core Sirigen),749321,Rat CD61 BUV563 F11 50ug,749321-Rat CD61 BUV563 F11 50ug,BDB-749321,$456 ,1,,
43783,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035850,Cobalt Blue MTS,PH220080041120,RB780 MTS,PH220080051315,Human RB780 MTS,571077,Hu FoxA2 RB780 N17-280 100Tst,571077-Hu FoxA2 RB780 N17-280 100Tst,BDB-571077,$455 ,1,,
43784,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035900,Cobalt Blue OptiBuild,PH220080041063,RB744 OptiBuild,PH220080051204,Human RB744 OptiBuild,757650,Hu Neuropilin-1 RB744 U21-1283 50ug,757650-Hu Neuropilin-1 RB744 U21-1283 50ug,BDB-757650,$455 ,1,,
43785,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401137,Peripheral Vascular Disease,PH240113721003,Stents PVD,PH240113731014,Lifestent,PH240113741102,Lifestent,PH240113751102,Lifestent,EX050301CS,LIFESTENT 5MM 80CMX5MMX30MM,EX050301CS-LIFESTENT 5MM 80CMX5MMX30MM,PI-EX050301CS,$455 ,1,,PowerPort
43786,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401137,Peripheral Vascular Disease,PH240113721003,Stents PVD,PH240113731014,Lifestent,PH240113741102,Lifestent,PH240113751102,Lifestent,EX050401CS,LIFESTENT 5MM 80CMX5MMX40MM,EX050401CS-LIFESTENT 5MM 80CMX5MMX40MM,PI-EX050401CS,$455 ,1,,PowerPort
43787,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401137,Peripheral Vascular Disease,PH240113721003,Stents PVD,PH240113731014,Lifestent,PH240113741102,Lifestent,PH240113751102,Lifestent,EX070601CS,LIFESTENT 7MM X 60MM X 80CM,EX070601CS-LIFESTENT 7MM X 60MM X 80CM,PI-EX070601CS,$455 ,1,,PowerPort
43788,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),753801,Hu TCR VB13.2 BV711 H132 50ug,753801-Hu TCR VB13.2 BV711 H132 50ug,BDB-753801,$455 ,1,,
43789,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),746561,Hu Notch2 BV480 MHN2-25 50ug,746561-Hu Notch2 BV480 MHN2-25 50ug,BDB-746561,$455 ,1,,
43790,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),745552,P-glycoprotein (MDR1) BV786 15D3 50ug,745552-P-glycoprotein (MDR1) BV786 15D3 50ug,BDB-745552,$455 ,1,,
43791,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),756058,Hu IgG2 BUV805 HP6002 50ug,756058-Hu IgG2 BUV805 HP6002 50ug,BDB-756058,$455 ,1,,BACTEC vials
43792,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035900,Cobalt Blue OptiBuild,PH220080041123,RB545 OptiBuild,PH220080051328,Mouse RB545 OptiBuild,756524,Ms CD5 RB545 53-7.3 50ug,756524-Ms CD5 RB545 53-7.3 50ug,BDB-756524,$455 ,1,,
43793,BLS,BDB,Biosciences,BDB,Biosciences,2200500,Clinical Reagents,PH220055021001,Cytognos Reagents,PH220055031004,Cytognos Other Reagents,PH220055041017,Cytognos OTHER REAGENTS,PH220055051029,Cytognos OTHER REAGENTS (RUO),CYT-DRF2,HLA-DR-FITC,CYT-DRF2-HLA-DR-FITC,BDB-CYT-DRF2,$454 ,1,,
43794,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035100,Sirigen - Immune Function (Flow Cytometry),PH220080041094,Sirigen - Immune Function (Flow Cytometry),PH220080051262,Other - Immune Function (Core Sirigen),570358,Islet-1 BUV395 Q11-465 100ug,570358-Islet-1 BUV395 Q11-465 100ug,BDB-570358,$454 ,1,,
43795,BLS,BDB,Biosciences,BDB,Biosciences,2200500,Clinical Reagents,PH220020023000,Cancer Reagents,PH220050031100,Sirigen - Cancer Rgt,PH220050041066,Sirigen - CAN Single Color Rgt,PH220050051080,Sirigen - CAN Single ASR Rgt,664143,CD45 (HI30) BV605 CNIVD,664143-CD45 (HI30) BV605 CNIVD,BDB-664143,$453 ,1,,BACTEC vials
43796,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035750,Cobalt YG OptiBuild,PH220080041054,RY775 OptiBuild,PH220080051189,Human RY775 OptiBuild,772113,Hu CD271 RY775 C40-1457 50ug,772113-Hu CD271 RY775 C40-1457 50ug,BDB-772113,$453 ,1,,
43797,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),756718,Hu NG2 BUV615 7.1 50ug,756718-Hu NG2 BUV615 7.1 50ug,BDB-756718,$453 ,1,,
43798,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),756758,Hu PSMA BV786 107-1A4 50ug,756758-Hu PSMA BV786 107-1A4 50ug,BDB-756758,$453 ,1,,
43799,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),755312,Hu FcgammaRIIA (CD32) BUV805 IV.3 50ug,755312-Hu FcgammaRIIA (CD32) BUV805 IV.3 50ug,BDB-755312,$453 ,1,,BACTEC vials
43800,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035750,Cobalt YG OptiBuild,PH220080041055,RY703 OptiBuild,PH220080051195,Human RY703 OptiBuild,770373,Hu CD273 RY703 MIH18 50ug,770373-Hu CD273 RY703 MIH18 50ug,BDB-770373,$453 ,1,,
43801,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401137,Peripheral Vascular Disease,PH240113721003,Stents PVD,PH240113731014,Lifestent,PH240113741102,Lifestent,PH240113751102,Lifestent,EX100303C,LIFESTENT 10X30X130,EX100303C-LIFESTENT 10X30X130,PI-EX100303C,$453 ,1,,PowerPort
43802,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022850,Research Core Non-Sirigen,PH220080034800,Non Sirigen - Immune Function (Flow Cytometry),PH220080041088,Non Sirigen - Immune Function (Flow Cytometry),PH220080051246,Human - Immune Function (Core Non-Sirigen),571522,Hu TCR VBta11 R718 C21 100Tst,571522-Hu TCR VBta11 R718 C21 100Tst,BDB-571522,$453 ,1,,
43803,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035200,Sirigen - OptiBuild,PH220080041096,Sirigen - OptiBuild (Flow Cytometry),PH220080051266,Human - Optibuild (Core Sirigen),745600,Hu CD31 BUV395 L133.1 50ug,745600-Hu CD31 BUV395 L133.1 50ug,BDB-745600,$452 ,1,,
