,precision,recall,f1-score,support
bactec fx machine,0.7428571428571429,1.0,0.8524590163934426,26.0
bactec vials,0.9987995198079231,0.9985997199439888,0.9986996098829649,4999.0
chloraprep,0.9914529914529915,0.9666666666666667,0.9789029535864979,120.0
hypak for antico,1.0,1.0,1.0,35.0
hypak for vaccine,1.0,1.0,1.0,33.0
neopak,0.9,1.0,0.9473684210526315,9.0
plastipak,0.9688888888888889,0.9083333333333333,0.9376344086021505,240.0
powerport,0.9873577749683944,0.95593635250918,0.9713930348258707,817.0
purewick canister & tubing,0.9886578449905482,0.9924098671726755,0.990530303030303,527.0
purewick catheter,0.9422521655437921,0.9959308240081384,0.9683481701285855,983.0
purewick device,0.9783783783783784,0.9305912596401028,0.9538866930171278,389.0
pyxis,0.9456521739130435,0.8571428571428571,0.8992248062015504,203.0
rowa,0.9333333333333333,1.0,0.9655172413793104,14.0
safety wingset,0.9837486457204767,0.9945235487404163,0.9891067538126361,913.0
vacutainer tubes,0.9980544747081712,0.996116504854369,0.9970845481049563,515.0
veritor assays,0.956989247311828,0.9368421052631579,0.9468085106382979,95.0
veritor device,0.8522727272727273,0.9259259259259259,0.8875739644970414,81.0
accuracy,0.9847984798479849,0.9847984798479849,0.9847984798479849,0.9847984798479849
macro avg,0.9510997240675083,0.9681775861882831,0.9579140255972568,9999.0
weighted avg,0.985256578389034,0.9847984798479849,0.9847713923055726,9999.0
